"INVENTORY_ID","PLOT_ID","N","N_0_75","N_75_125","N_125_175","N_175_225","N_225_275","N_275_325","N_325_375","N_375_425","N_425_","dbh_min","dbh_max","dbh_mean","dg","G","g_min","g_max","g_mean","h_min","h_max","h_mean","Ho","Do","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","G_alive","G_dead","N_alive","N_dead","slenderness","dominant_slenderness","SDI","S","S_staggered"
"IFN3","IFN3_24_974_A_3E",544.663583025597,0,0,31.8309886183791,159.154943091895,254.647908947033,99.0297423682904,0,0,0,16.25,31,23.6928571428571,24.0253788975082,24.6921388888889,207.394202522139,754.767635024948,453.346609878422,13.5,20.5,17.0584415584416,19.561032953946,29.2744915519712,21,25,NA,16.0346923611111,8.65744652777778,NA,332.456992236404,212.206590789194,NA,24.6921388888889,NA,544.663583025597,NA,71.9982459506126,66.8193772698635,580.558928525872,21.9050397660124,40.7698728901516
"IFN3","IFN3_24_980_A_3E",77.809083289371,0,0,63.6619772367581,0,0,0,0,14.1471060526129,0,12.55,41.6,19.1204545454545,21.9070064549719,2.93282569444444,123.702174230507,1359.17864564909,376.925876833338,7.5,14,9.70454545454546,9.70454545454546,19.1204545454545,43,NA,NA,2.93282569444444,NA,NA,77.809083289371,NA,NA,2.93282569444444,NA,77.809083289371,NA,50.754784262451,50.754784262451,96.1807677578423,116.817969215648,217.422739565043
"IFN3","IFN3_24_982_A_1",1428.8577113139,0,381.971863420549,700.281749604339,318.309886183791,28.2942121052258,0,0,0,0,10.45,24,15.472896039604,15.8288105621326,28.1174173611111,85.7674429384098,452.38934211693,196.782486726798,8.5,13,9.63490099009901,12.0964007190775,21.7177622529586,25,21,NA,24.8026361111111,3.31478125,NA,1237.87177960363,190.985931710274,NA,28.1174173611111,NA,1428.8577113139,NA,62.2695387174955,55.6981910851778,2975.55652715883,21.8700282076518,40.7047090374816
"IFN3","IFN3_24_983_A_4",2228.16920328653,0,1655.21140815571,572.957795130823,0,0,0,0,0,0,8.55,17.45,11.2892857142857,11.5007934508885,23.14694375,57.414569239762,239.155704249931,103.883240625795,5.5,10,7.37857142857143,9.31830988618379,17.0115493349665,21,NA,NA,23.14694375,NA,NA,2228.16920328653,NA,NA,23.14694375,NA,2228.16920328653,NA,65.3590635874723,54.7763739956972,7747.71712941337,22.7346758929778,42.3139997122329
"IFN3","IFN3_24_984_A_1",880.657351775154,0,0,541.126806512444,254.647908947033,84.8826363156775,0,0,0,0,0,26.05,17.2453815261044,17.5774059748079,21.3700930555556,0,532.973157176917,242.660701264567,0,13.5,11.718875502008,13.300626003618,23.9335056202609,21,NA,NA,21.3700930555556,0,NA,880.657351775154,0,NA,21.3700930555556,0,880.657351775154,0,67.9537039193312,55.5732462040929,1550.05907968762,25.3352057553256,47.154131164515
"IFN3","IFN3_24_985_A_4",1135.30526072219,0,0,636.619772367581,413.802852038928,70.7355302630646,14.1471060526129,0,0,0,12.7,28.2,17.4528037383178,17.6875999386232,27.8958979166667,126.676869774374,624.580035460187,245.712751290535,10.5,15,12.9485981308411,14.5707355302631,23.626713816839,21,NA,NA,27.8958979166667,NA,NA,1135.30526072219,NA,NA,27.8958979166667,NA,1135.30526072219,NA,74.1920801092399,61.6705972875431,1978.32559082023,20.3686478297294,37.9103252873712
"IFN3","IFN3_24_988_A_3E",1177.74657888003,0,381.971863420549,732.112738222719,63.6619772367581,0,0,0,0,0,8.1,19.1,13.4972972972973,13.7800874747155,17.5649,51.5299735005066,286.521103989023,149.139894056863,6,12.5,8.35135135135135,11.4323944878271,18.291549430919,21,25,NA,12.3053125,5.2595875,NA,763.943726841098,413.802852038928,NA,17.5649,NA,1177.74657888003,NA,61.8742490989187,62.5009627041349,3063.69936326714,25.4880653781334,47.4386349800058
"IFN3","IFN3_24_990_A_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFN3","IFN3_24_991_A_1",954.929658551372,0,636.619772367581,318.309886183791,0,0,0,0,0,0,8.3,17.05,10.9183333333333,11.2831105344818,9.54814375,54.1060794764502,228.317209595047,99.987927534731,6,11.5,7.91666666666667,11.1140846016433,16.1185916357881,21,43,NA,6.6626375,2.88550625,NA,541.126806512444,413.802852038928,NA,9.54814375,NA,954.929658551372,NA,72.5080140436575,68.9519584140754,3423.86634736747,29.1165966751267,54.1920926927779
"IFN3","IFN3_24_992_A_3E",962.003211577678,0,127.323954473516,541.126806512444,222.816920328653,70.7355302630646,0,0,0,0,12.35,24.05,16.6636029411765,16.9405312568616,21.6830541666667,119.790891376787,454.276261204493,225.394820991362,8.5,14.5,11.4319852941176,13.7122065907892,23.0307982265773,21,NA,NA,21.6830541666667,NA,NA,962.003211577678,NA,NA,21.6830541666667,NA,962.003211577678,NA,68.6045228902372,59.538564212531,1796.56262078297,23.5128022465502,43.7622560434927
"IFN4","IFN4_24_1259_A_1",580.03134815713,0,127.323954473516,127.323954473516,254.647908947033,42.4413181578388,28.2942121052258,0,0,0,10.8,28.6,17.2246951219512,17.9472800949024,14.6736659722222,91.6088417786784,642.424281732577,252.980567668338,6.90000009536743,11.6999998092651,9.18048780138899,10.99355240152,24.736009634733,43,NA,NA,14.6736659722222,NA,NA,580.03134815713,NA,NA,14.6736659722222,NA,580.03134815713,NA,53.2984052048001,44.4435160070581,987.364166029504,37.7690634782786,70.2961479932434
"IFN4","IFN4_24_1260_A_1",792.237938946323,0,254.647908947033,381.971863420549,127.323954473516,28.2942121052258,0,0,0,0,10.55,25.05,14.25625,14.6667299951284,13.3848069444444,87.4167790815445,492.839311027307,168.949330579223,5.40000009536743,14.1999998092651,8.63437495061329,11.623724406761,20.3546950271352,43,NA,NA,13.3848069444444,NA,NA,792.237938946323,NA,NA,13.3848069444444,NA,792.237938946323,NA,60.5655410827763,57.1058637393743,1864.59454129478,30.565174348288,56.8881995356393
