OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
11,60,349073.64500000002,4691115.51499999966,898.71900000000,0.10000000000,0.20000000000,28/03/202311:02:22am,Pnr F d,Pino laricio,112,349073.64520000003,4691115.51520000026,898.736022949219
12,59,349233.15800000000,4691943.57899999991,903.53300000000,0.20000000000,0.10000000000,28/03/202311:31:06am,Pnr F d,Pino laricio,122,349233.15789999999,4691943.57890000008,902.457336425781
13,58,347907.21999999997,4693198.31799999997,908.07800000000,0.20000000000,0.20000000000,27/03/202312:54:58pm,Pnr LA d,Pino laricio,122,347907.21999999997,4693198.31769999955,907.816040039062
14,57,346848.12400000001,4695045.34100000001,919.66100000000,0.20000000000,0.20000000000,27/03/202301:28:30pm,Pnr F d,Pino laricio,232,346848.12370000000,4695045.34080000035,910.180053710938
15,501,343491.31500000000,4696150.95100000035,910.76500000000,0.10000000000,0.10000000000,02/04/202309:41:30am,Qpt (LAxLB) s,Rebollo,122,343491.31500000000,4696150.95100000035,912.276062011719
16,56,346004.35200000001,4696179.28500000015,923.42200000000,0.30000000000,0.20000000000,27/03/202304:36:22pm,Pnr F d,Pino laricio,312,346004.35249999998,4696179.28550000023,920.796020507812
17,55,347891.28000000003,4696563.19900000002,921.13100000000,0.10000000000,0.10000000000,27/03/202302:08:29pm,Pnr F d,Pino laricio,122,347891.28029999998,4696563.19900000002,921.210632324219
18,50,346939.69099999999,4696819.22300000023,922.49000000000,0.20000000000,0.10000000000,02/04/202310:18:13am,Pnr F d,Pino laricio,222,346939.69130000001,4696819.22319999989,921.960021972656
19,54,346660.57400000002,4697543.06900000013,922.42900000000,0.20000000000,0.20000000000,27/03/202303:47:50pm,Pnr F d,Pino laricio,232,346660.57380000001,4697543.06940000039,918.101684570312
20,52,346113.38900000002,4698388.42499999981,931.48400000000,0.10000000000,0.10000000000,27/03/202303:01:19pm,Pnr F s,Pino laricio,111,346113.38919999998,4698388.42530000024,931.748046875
21,51,346343.51199999999,4699697.96800000034,940.96500000000,0.20000000000,0.20000000000,28/03/202312:28:13pm,Pnr F d,Pino laricio,222,346343.51160000003,4699697.96779999975,938.1181640625
22,49,347158.98300000001,4701142.04000000004,946.57800000000,0.20000000000,0.20000000000,28/03/202301:27:55pm,Pnr F d,Pino laricio,232,347158.98310000001,4701142.04040000029,940.26806640625
23,48,346045.89500000002,4701346.45299999975,945.64900000000,0.10000000000,0.10000000000,28/03/202302:05:57pm,Pnr F d,Pino laricio,112,346045.89539999998,4701346.45260000043,945.748046875
24,47,345195.12699999998,4701539.27799999993,943.47600000000,0.20000000000,0.20000000000,02/04/202310:59:41am,Pnr LA d,Pino laricio,232,345195.12719999999,4701539.27850000001,944.740051269531
25,46,345340.02600000001,4703135.14699999988,950.74600000000,0.20000000000,0.10000000000,28/03/202302:37:51pm,Pnr F d,Pino laricio,122,345340.02600000001,4703135.14649999980,950.43603515625
26,45,347203.57799999998,4703509.09499999974,953.71300000000,0.30000000000,0.30000000000,28/03/202305:19:05pm,Pnr LA d,Pino laricio,322,347203.57809999998,4703509.09549999982,950.83203125
27,53,370869.60519999999,4704469.64400000032,966.37150000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,111,370869.60519999999,4704469.64400000032,961.318115234375
28,43,345829.99200000003,4704541.61000000034,962.46600000000,0.20000000000,0.20000000000,28/03/202303:07:12pm,Pnr LA d,Pino laricio,222,345829.99209999997,4704541.61010000017,958.317016601562
29,44,371851.10159999999,4704677.19299999997,931.49140000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,211,371851.10159999999,4704677.19299999997,930.743591308594
30,42,348132.17200000002,4705128.87200000044,961.74600000000,0.60000000000,0.50000000000,28/03/202304:31:56pm,Pnr LA d,Pino laricio,222,348132.17219999997,4705128.87239999976,959.447814941406
31,1008,371400.79410000000,4705379.57600000035,956.81370000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,222,371400.79410000000,4705379.57600000035,955.720031738281
32,41,346683.73499999999,4705423.17899999954,967.25600000000,0.30000000000,0.40000000000,28/03/202303:44:27pm,Pnr LA d,Pino laricio,122,346683.73469999997,4705423.17910000030,963.85205078125
33,40,371771.48170000000,4705532.34800000023,1006.96940000000,0.41580000000,0.22980000000,"20/03/2023
07:56:14",Pnr F d,Pino laricio,322,371771.48170000000,4705532.34800000023,954.346069335938
34,39,369644.98989999999,4705684.64300000016,969.77890000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,222,369644.98989999999,4705684.64300000016,967.375549316406
35,150,369479.86609999998,4706221.05800000019,1026.98470000000,0.01660000000,0.01400000000,"20/03/2023
11:38:53",Psr F d,Pino silvestre,212,369479.86609999998,4706221.05800000019,971.996032714844
36,38,370198.16499999998,4706624.94099999964,991.49790000000,0.03470000000,0.02040000000,"20/03/2023
10:40:00",Pnr F d,Pino laricio,332,370198.16499999998,4706624.94099999964,937.011047363281
37,210,368661.50189999997,4706856.86799999978,969.44070000000,0.00000000000,0.00000000000,,(PnxPs)r F d,Pinar mixto de laricio y silvestre,112,368661.50189999997,4706856.86799999978,971.800720214844
38,37,370944.43140000000,4706942.79800000042,1035.28760000000,0.10230000000,0.08830000000,"20/03/2023
09:24:05",Pnr F d,Pino laricio,212,370944.43140000000,4706942.79800000042,979.280029296875
39,36,368854.32600000000,4707296.76699999999,993.27550000000,0.01600000000,0.02510000000,22/03/202305:04:33,Pnr F d,Pino laricio,132,368854.32600000000,4707296.76699999999,945.939147949219
40,35,346772.72700000001,4707814.74100000039,977.64100000000,0.20000000000,0.10000000000,29/03/202309:15:20am,Pnr F d,Pino laricio,122,346772.72670000000,4707814.74139999971,976.250061035156
41,149,346130.51899999997,4710046.50600000005,985.01400000000,0.20000000000,0.20000000000,29/03/202309:50:45am,Psr F d,Pino silvestre,122,346130.51899999997,4710046.50559999980,984.524047851562
