"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"DF","strand_1958",13810.3603785587,0.891309005223893,3.97260334262788,2.96709431188908,-0.116584394227172,13787.1254613318,-6889.56273066588,"DF_strand_1958"
"DF","huang_1992_IV",13824.7907450606,0.890670070855406,3.98426260437068,2.99871884111542,-0.149795842990953,13801.5558278336,-6896.7779139168,"DF_huang_1992_IV"
"DF","curtis_1967_II",13821.5063309279,0.890468975068062,3.98792514371487,2.93407139248488,0.0436959473602017,13804.0801430077,-6899.04007150383,"DF_curtis_1967_II"
"DF","huang_1992_V",13821.5063309281,0.890468975068053,3.98792514371503,2.9340711688074,0.0436946259119705,13804.0801430079,-6899.04007150393,"DF_huang_1992_V"
"DF","hyperbolic_model_I",13821.506330946,0.890468975067259,3.98792514372949,2.93407071788327,0.043691962242115,13804.0801430257,-6899.04007151286,"DF_hyperbolic_model_I"
"DF","peschel_1938_II",13825.5148840266,0.890290494744647,3.99117297441345,3.02111136233524,-0.228644627812859,13808.0886961063,-6901.04434805317,"DF_peschel_1938_II"
"DF","hyperbolic_model_II",13825.5148840548,0.890290494743388,3.99117297443636,3.02111109803324,-0.228640883187254,13808.0886961346,-6901.0443480673,"DF_hyperbolic_model_II"
"DF","elmamoun_2013_M8",13833.35405652,0.889940615626253,3.99753211575929,2.97989248976882,-0.225810371268664,13815.9278685998,-6904.9639342999,"DF_elmamoun_2013_M8"
"DF","flewelling_jong_1994",13848.4123051242,0.889616061001541,4.00342194723778,3.03077993381462,-0.16811869732531,13825.1773878972,-6908.58869394861,"DF_flewelling_jong_1994"
"DF","elmamoun_2013_M15",13865.1606113356,0.888509535323395,4.02343773417282,3.01362530434896,-0.260317499382883,13847.7344234154,-6920.86721170768,"DF_elmamoun_2013_M15"
"DF","elmamoun_2013_M12",13867.5685830713,0.88840043815939,4.02540578731244,2.97706073520124,0.18921469177769,13850.1423951511,-6922.07119757556,"DF_elmamoun_2013_M12"
"DF","hui_gadow_1993_II",13873.8275264548,0.888116366690614,4.03052577235954,3.02059803850708,-0.258085214443271,13856.4013385345,-6925.20066926727,"DF_hui_gadow_1993_II"
"DF","elmamoun_2013_M10",13873.8275264662,0.888116366690093,4.03052577236893,3.02059859209095,-0.258090946602263,13856.401338546,-6925.200669273,"DF_elmamoun_2013_M10"
"DF","wykoff_1982_II",13873.8275264662,0.888116366690093,4.03052577236893,3.02059859209095,-0.258090946602263,13856.401338546,-6925.200669273,"DF_wykoff_1982_II"
"DF","wykoff_1982_III",13873.8275264662,0.888116366690093,4.03052577236893,3.02059859209095,-0.258090946602263,13856.401338546,-6925.200669273,"DF_wykoff_1982_III"
"DF","huang_2000_II",13896.1530106532,0.887097188821802,4.04884172304489,2.95193896737501,-0.183399725820162,13878.7268227329,-6936.36341136647,"DF_huang_2000_II"
"DF","elmamoun_2013_M16",13900.9312024786,0.886877856927051,4.05277257846636,3.04683004097162,-0.287533060751805,13883.5050145584,-6938.75250727919,"DF_elmamoun_2013_M16"
