"species","model","term","estimate","std.error","statistic","p.value"
"DF","hyperbolic_model_II","a",-1.80176925406323,0.0241607269456739,-74.5742981208534,0
"DF","hyperbolic_model_II","b",-0.13768172468418,0.00062453623042716,-220.454343521449,0
"DF","elmamoun_2013_M8","a",0.459966382632463,0.000739354651048371,622.118738254033,0
"DF","elmamoun_2013_M8","b",2.018027002388,0.0270904824043874,74.4921028819024,0
"DF","flewelling_jong_1994","a",80.6431499567196,4.38343112747212,18.3972663449204,6.38850513032279e-71
"DF","flewelling_jong_1994","b",6.4071405297926,0.221703300976214,28.8996171982121,2.34410987512966e-158
"DF","flewelling_jong_1994","c",0.5020449281283,0.0236188128515012,21.2561457379256,3.46847290994604e-92
"DF","elmamoun_2013_M15","a",0.616907286349062,0.000595908249106461,1035.23870876782,0
"DF","elmamoun_2013_M15","b",1.58919965182965,0.021373408722603,74.3540570647971,0
"DF","elmamoun_2013_M12","a",63.7453103372355,0.995828796628315,64.0123187369806,0
"DF","elmamoun_2013_M12","b",51.3402449211301,1.46601842188772,35.0201908479579,2.35625882071009e-218
"DF","hui_gadow_1993_II","a",47.2931284677384,0.347253125575388,136.192088665509,0
"DF","hui_gadow_1993_II","b",-20.11972459046,0.263268630555728,-76.4227950287493,0
"DF","elmamoun_2013_M10","a",3.85636638367252,0.00734257521012212,525.206248940606,0
"DF","elmamoun_2013_M10","b",-20.1197801483399,0.263269056647694,-76.4228823718703,0
"DF","wykoff_1982_II","a",3.85636638367252,0.00734257521012212,525.206248940606,0
"DF","wykoff_1982_II","b",-20.1197801483399,0.263269056647694,-76.4228823718703,0
"DF","wykoff_1982_III","a",3.85636638367252,0.00734257521012212,525.206248940606,0
"DF","wykoff_1982_III","b",-20.1197801483399,0.263269056647694,-76.4228823718703,0
"DF","huang_2000_II","a",1.11825903517614,0.00858419517686058,130.269525813031,0
"DF","huang_2000_II","b",0.0100593866762597,0.000142011674266588,70.8349276790859,0
"DF","elmamoun_2013_M16","a",46.7795417485629,0.342059113712096,136.758647477337,0
"DF","elmamoun_2013_M16","b",19.3720349870955,0.257489991904233,75.2341279124373,0
"DF","schumacher_1939","beta0",46.284851591689,0.336986805871535,137.349150724119,0
"DF","schumacher_1939","beta1",-18.6521714445537,0.251730577776233,-74.0957717942944,0
"DF","elmamoun_2013_M2","a",46.284851591689,0.336986805871535,137.349150724119,0
"DF","elmamoun_2013_M2","b",-18.6521714445537,0.251730577776233,-74.0957717942944,0
